Time,Open,High,Low,Close,Volume
2019-11-28 0:00:00,28098.969,28116.97,28086.469,28097.97,60
2019-11-28 1:00:00,28097.97,28113.469,28072.969,28110.97,60
2019-11-28 2:00:00,28111.47,28112.97,28098.969,28105.47,60
2019-11-28 3:00:00,28105.47,28107.469,28098.469,28100.469,60
2019-11-28 4:00:00,28100.469,28101.47,28091.47,28094.47,58
2019-11-28 5:00:00,28094.97,28094.97,28081.469,28084.47,60
2019-11-28 6:00:00,28084.47,28096.469,28076.469,28096.469,59
2019-11-28 7:00:00,28096.469,28105.47,28089.469,28090.97,60
2019-11-28 8:00:00,28090.97,28095.07,28069.57,28079.57,60
2019-11-28 9:00:00,28079.57,28081.07,28070.069,28076.069,60
2019-11-28 10:00:00,28075.57,28089.07,28072.069,28087.07,60
2019-11-28 11:00:00,28087.07,28105.57,28087.07,28100.07,60
2019-11-28 12:00:00,28101.069,28114.07,28099.069,28111.07,60
2019-11-28 13:00:00,28111.07,28112.069,28096.57,28103.069,59
2019-11-28 14:00:00,28103.069,28115.67,28093.57,28110.67,59
2019-11-28 15:00:00,28110.67,28123.67,28103.669,28118.67,59
2019-11-28 16:00:00,28118.67,28139.67,28116.669,28136.669,60
2019-11-28 17:00:00,28136.669,28145.669,28128.669,28131.67,59
2019-11-28 23:00:00,28119.469,28126.469,28108.969,28120.47,58
2019-11-29 0:00:00,28120.47,28123.469,28105.469,28105.969,60
2019-11-29 1:00:00,28105.969,28108.47,28076.969,28081.47,60
2019-11-29 2:00:00,28081.47,28095.47,28078.47,28089.47,60
2019-11-29 3:00:00,28088.969,28088.97,28066.47,28077.47,60
2019-11-29 4:00:00,28076.97,28077.47,28066.47,28071.469,56
2019-11-29 5:00:00,28070.969,28073.47,28054.469,28061.47,60
2019-11-29 6:00:00,28061.47,28073.47,28051.97,28066.469,60
2019-11-29 7:00:00,28066.469,28070.47,28058.969,28067.97,60
2019-11-29 8:00:00,28068.47,28085.07,28047.469,28084.57,60
2019-11-29 9:00:00,28085.069,28102.57,28083.569,28096.57,60
2019-11-29 10:00:00,28096.57,28100.069,28087.069,28095.07,60
2019-11-29 11:00:00,28095.07,28105.07,28088.07,28101.069,60
2019-11-29 12:00:00,28101.069,28115.569,28098.069,28109.57,60
2019-11-29 13:00:00,28109.07,28111.07,28090.57,28096.07,60
2019-11-29 14:00:00,28096.07,28102.169,28066.17,28093.67,60
2019-11-29 15:00:00,28093.67,28118.67,28089.669,28098.67,60
2019-11-29 16:00:00,28098.67,28102.669,28064.169,28087.17,60
